Item,Category,Serving Size (g),Calories,Cal. From Fat,Total Fat (g),Sat. Fat (g),Trans Fat (g)*,Chol. (mg),Sodium (mg),Carbohydrate(g),Dietary Fiber (g),Sugars (g),Protein(g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
"6"" Mega Melt Flatbread",Breakfast,255,560,240,26,9,0,55,1930,45,2,3,36,6,8,35,25
"6"" Sausage, Egg White & Cheese Flatbread**",Breakfast,240,480,190,21,8,0,45,1500,44,2,3,30,6,8,35,20
"6"" Sunrise Subway Melt® Flatbread",Breakfast,290,490,150,17,6,0,40,1910,47,2,5,35,10,16,35,20
"6"" Black Forest Ham, Egg & Cheese Flatbread",Breakfast,211,410,150,16,5,0,185,1210,44,2,3,23,12,8,35,15
"6"" Egg & Cheese Flatbread",Breakfast,183,380,140,15,5,0,170,950,42,2,2,19,12,8,35,15
"6"" Bacon, Egg & Cheese Flatbread",Breakfast,198,460,190,21,7,0,180,1370,43,2,3,25,12,8,35,20
"6"" Steak, Egg & Cheese Flatbread",Breakfast,225,450,160,18,6,0,195,1280,45,2,4,28,12,10,35,20
"6"" Breakfast B.M.T® Flatbread**",Breakfast,270,520,230,25,8,0,205,1690,46,2,5,28,18,16,35,20
"6"" Mega Melt Flatbread**",Breakfast,255,600,280,31,11,0,215,1890,44,2,3,34,14,8,40,20
"6"" Sausage, Egg & Cheese Flatbread**",Breakfast,240,520,240,26,9,0,205,1470,44,2,3,29,14,8,35,20
"6"" Sunrise Subway Melt® Flatbread**",Breakfast,290,530,200,22,7,0,205,1880,47,2,5,34,18,16,40,20
Hash Browns**,Breakfast,108,220,0,10,3,0,0,640,30,3,0,2,0,2,0,4
Cheese Flatizza,Pizza,157,400,150,16,8,0,35,810,43,2,3,21,10,12,60,15
Pepperoni Flatizza,Pizza,181,500,230,26,12,0,60,1340,44,2,4,26,10,12,60,15
Spicy Italian Flatizza,Pizza,181,500,230,25,11,0,60,1290,44,2,4,26,10,12,60,15
Veggie Flatizza,Pizza,191,410,150,17,8,0,35,850,45,2,4,22,10,30,60,15
Cheese Pizza,Pizza,293,720,200,23,9,0.5,50,1530,97,4,7,28,20,15,40,40
Bacon Pizza,Pizza,323,840,270,31,12,0.5,70,2060,98,4,8,37,20,15,50,40
Meatball Pizza,Pizza,344,860,290,33,14,1,80,1840,100,5,7,37,20,15,50,45
Pepperoni Pizza,Pizza,323,840,290,33,13,1,70,1800,97,4,8,35,20,15,50,40
Sausage Pizza,Pizza,336,860,310,35,14,0.5,80,1870,98,4,8,35,20,15,50,40
"6"" Italian (White)",Bread,71,200,20,2,0.5,0,0,270,38,1,5,7,0,0,30,15
"6"" 9-Grain Wheat",Bread,78,210,20,2,0.5,0,0,270,40,4,5,8,0,0,30,15
"6"" Flatbread, Multigrain",Bread,86,220,45,5,1,0,0,280,37,6,3,8,0,0,25,10
"6"" Flatbread, White",Bread,87,230,40,4.5,1,0,0,340,39,1,2,7,0,10,25,15
"6"" 9-Grain Honey Oat**",Bread,82,230,20,2.5,0.5,0,0,280,43,4,6,8,0,0,30,15
"6"" Harvest**",Bread,82,230,30,3,0.5,0,0,280,41,4,5,10,0,0,30,10
"6"" Hawaiian Sweet Bread**",Bread,71,220,25,2.5,1,0,17,220,41,1,8,8,2,0,4,10
"6"" Hearty Italian**",Bread,75,210,20,2.5,0.5,0,0,270,41,2,5,7,0,0,30,15
"6"" Italian Herbs & Cheese",Bread,82,240,45,5,2,0,8,470,41,2,5,9,2,0,40,15
"6"" Jalapeno Cheddar**",Bread,85,240,45,5,2,0,8,620,40,2,5,9,2,0,40,15
"6"" Monterey Cheddar**",Bread,82,240,50,6,2.5,0,10,340,38,2,5,10,2,0,40,15
"6"" Parmesan Oregano**",Bread,75,210,20,2.5,0.5,0,0,420,40,2,5,7,0,0,30,15
"6"" Roasted Garlic**",Bread,82,230,25,2.5,0.5,0,0,1240,45,2,7,8,4,45,35,15
"6"" Rosemary and Sea Salt**",Bread,75,220,25,2.5,1,0,0,430,40,2,5,7,0,0,35,15
"6"" Rye**",Bread,78,190,30,2.5,0,0,0,330,34,4,4,8,0,0,0,10
"6"" Sourdough**",Bread,78,190,15,1.5,0,0,0,310,36,1,3,9,0,0,0,15
"6"" Southwestern Spicy**",Bread,78,190,20,2,0.5,0,0,280,35,2,1,8,8,0,0,15
Bagel,Bread,105,290,15,1.5,0,0,0,560,56,2,1,11,0,0,0,15
Biscuits**,Bread,64,210,90,10,4.5,0,0,620,27,1,1,4,0,0,4,10
English Muffin,Bread,57,120,10,1,0,0,0,200,25,1,1,4,0,0,10,10
Gluten-Free Roll** (as packaged),Bread,113,340,110,12,7,0,0,800,52,3,7,6,0,0,4,0
Mini Italian Bread,Bread,47,130,15,2,0.5,0,0,180,25,1,3,5,0,0,20,8
Mini Wheat Bread,Bread,52,140,15,2,0.5,0,0,180,27,3,3,5,0,0,20,8
Wrap**,Bread,102,300,75,8,4,0,0,550,50,1,0,7,0,0,0,15
